Date,GDP,UNEMPLOYMENT,CYCLES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
1/31/1992,9.07E+12,8.1,0,1,0,0,0,0,0,0,0,0,0,0
2/29/1992,9.11E+12,8.2,0,0,1,0,0,0,0,0,0,0,0,0
3/31/1992,9.19E+12,7.8,0,0,0,1,0,0,0,0,0,0,0,0
4/30/1992,9.20E+12,7.2,0,0,0,0,1,0,0,0,0,0,0,0
5/31/1992,9.16E+12,7.3,0,0,0,0,0,1,0,0,0,0,0,0
6/30/1992,9.31E+12,8,0,0,0,0,0,0,1,0,0,0,0,0
7/31/1992,9.32E+12,7.7,0,0,0,0,0,0,0,1,0,0,0,0
8/31/1992,9.30E+12,7.4,0,0,0,0,0,0,0,0,1,0,0,0
9/30/1992,9.32E+12,7.3,0,0,0,0,0,0,0,0,0,1,0,0
10/31/1992,9.38E+12,6.9,0,0,0,0,0,0,0,0,0,0,1,0
11/30/1992,9.39E+12,7.1,0,0,0,0,0,0,0,0,0,0,0,1
12/31/1992,9.45E+12,7.1,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1993,9.42E+12,8,0,1,0,0,0,0,0,0,0,0,0,0
2/28/1993,9.43E+12,7.8,0,0,1,0,0,0,0,0,0,0,0,0
3/31/1993,9.42E+12,7.4,0,0,0,1,0,0,0,0,0,0,0,0
4/30/1993,9.45E+12,6.9,0,0,0,0,1,0,0,0,0,0,0,0
5/31/1993,9.49E+12,6.8,0,0,0,0,0,1,0,0,0,0,0,0
6/30/1993,9.50E+12,7.2,0,0,0,0,0,0,1,0,0,0,0,0
7/31/1993,9.47E+12,7,0,0,0,0,0,0,0,1,0,0,0,0
8/31/1993,9.51E+12,6.6,0,0,0,0,0,0,0,0,1,0,0,0
9/30/1993,9.59E+12,6.4,0,0,0,0,0,0,0,0,0,1,0,0
10/31/1993,9.57E+12,6.4,0,0,0,0,0,0,0,0,0,0,1,0
11/30/1993,9.68E+12,6.2,0,0,0,0,0,0,0,0,0,0,0,1
12/31/1993,9.71E+12,6.1,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1994,9.71E+12,7.3,0,1,0,0,0,0,0,0,0,0,0,0
