Date,UNEMPLOYMENT,CPI,"CONSUMER
SENTIMENT","CONSUMER
CONFIDENCE",TRADE BALANCE,10 YR YIELD,DOLLAR,OIL,COPPER,GOLD,TRUCK SALES,NEW HOME SALES,PRIVATE CONSTRUCTION,Democratic President,Democratic Senate,Democratic House,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,,,EUR,JPY
1/31/1989,6,121.1,97.9,115.8,-8638500000,9.03,96.77,17.03,1.469,391.6,4.93E+06,7.19E+05,3.85E+11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,1.11,130.27
2/28/1989,5.6,121.6,95.4,120.7,-8622200000,9.39,94.9,18.15,1.389,387.5,4.82E+06,6.22E+05,3.83E+11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,1.14,126.83
3/31/1989,5.2,122.3,94.3,117.4,-6953600000,9.4,98.14,20.19,1.348,385.1,4.67E+06,5.67E+05,3.81E+11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,1.1,132.71
4/30/1989,5.1,123.1,91.5,116.6,-7190800000,9.04,97.71,20.42,1.417,377.9,4.97E+06,6.08E+05,3.77E+11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,1.11,133.01
5/31/1989,5,123.8,90.7,116.7,-9462900000,8.64,102.98,19.9,1.166,363.3,4.68E+06,6.56E+05,3.78E+11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,1.05,142.84
6/30/1989,5.5,124.1,90.6,117.2,-8723800000,8.1,102.02,20.27,1.086,374.6,4.55E+06,6.42E+05,3.78E+11,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,1.06,143.93
7/31/1989,5.3,124.4,92,120.4,-10582300000,7.68,97.39,18.31,1.141,370.5,4.66E+06,7.31E+05,3.78E+11,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,1.11,137.11
8/31/1989,5.1,124.6,89.6,115.4,-11034200000,8.3,102.28,18.83,1.357,359.9,5.15E+06,6.97E+05,3.80E+11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,,1.06,144.89
9/30/1989,5.1,125,95.8,116.3,-8970600000,8.4,98.47,20.13,1.2915,367.2,5.02E+06,6.39E+05,3.80E+11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,,1.1,139.04
10/31/1989,5,125.6,93.9,117,-11780000000,7.92,98.07,19.94,1.1595,374.7,4.50E+06,6.45E+05,3.80E+11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,1.11,142.8
11/30/1989,5.2,125.9,90.9,115.1,-10754000000,7.83,96.27,19.89,1.113,411.6,4.53E+06,6.84E+05,3.82E+11,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,,1.14,142.8
12/31/1989,5.1,126.1,90.5,113,-6686500000,7.97,93.21,21.82,1.0695,402.5,4.55E+06,6.30E+05,3.74E+11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1.19,143.85
1/31/1990,6,127.4,93,106.5,-9639700000,8.39,92.41,22.68,0.994,412.4,5.59E+06,6.20E+05,3.82E+11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,1.21,144.43
2/28/1990,5.9,128,89.5,106.7,-6150100000,8.54,93.29,21.54,1.1385,406.1,4.59E+06,5.91E+05,3.90E+11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,1.2,149.05
3/31/1990,5.5,128.7,91.3,110.6,-6368700000,8.7,93.69,20.28,1.269,370.2,4.69E+06,5.74E+05,3.90E+11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,1.21,158.5
4/30/1990,5.3,128.9,93.9,107.3,-6526800000,9.06,93.07,18.54,1.169,368.4,4.60E+06,5.42E+05,3.84E+11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,1.22,158.85
5/31/1990,5.2,129.2,90.6,107.3,-7307600000,8.64,92.98,17.4,1.12,364.3,4.61E+06,5.34E+05,3.79E+11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,1.21,152.16
6/30/1990,5.4,129.9,88.3,102.4,-6476000000,8.46,91.15,17.07,1.1545,357.9,4.64E+06,5.45E+05,3.75E+11,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,1.24,152.2
7/31/1990,5.6,130.4,88.2,101.7,-10758900000,8.28,87.17,20.69,1.253,370,4.65E+06,5.42E+05,3.77E+11,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,1.3,145.7
8/31/1990,5.5,131.6,76.4,84.7,-10508900000,8.77,86.56,27.32,1.3005,382.3,4.39E+06,5.28E+05,3.68E+11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,,1.32,143.7
9/30/1990,5.6,132.7,72.8,85.6,-9157200000,8.73,86,39.51,1.266,402.5,4.37E+06,4.96E+05,3.60E+11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,,1.32,138.5
10/31/1990,5.5,133.5,63.9,62.6,-12084500000,8.5,83.28,35.23,1.1725,379.4,4.33E+06,4.65E+05,3.52E+11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,1.37,130.1
11/30/1990,5.9,133.8,66,61.7,-10528900000,8.18,82.93,28.85,1.111,383.3,4.28E+06,4.93E+05,3.44E+11,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,,1.37,132.5
12/31/1990,6,133.8,65.5,61.2,-6211100000,8,83.07,28.44,1.183,394.2,4.02E+06,4.64E+05,3.41E+11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1.37,135.4
1/31/1991,7.1,134.6,66.8,55.1,-7078700000,7.89,82,21.54,1.073,365.8,3.84E+06,4.01E+05,3.31E+11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,1.39,131.21
2/28/1991,7.3,134.8,70.4,59.4,-4201200000,7.89,84.08,19.16,1.147,367.4,3.99E+06,4.82E+05,3.28E+11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,1.35,133
3/31/1991,7.2,135,87.7,81.1,-1888500000,7.96,92.02,19.63,1.064,357.1,4.06E+06,5.07E+05,3.18E+11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,1.21,140.7
4/30/1991,6.5,135.2,81.8,79.4,-3410700000,7.88,91.54,20.96,1.059,355.9,3.96E+06,5.08E+05,3.25E+11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,1.2,136.03
5/31/1991,6.7,135.6,78.3,76.4,-4157700000,7.92,93.13,21.13,0.967,361.4,4.08E+06,5.17E+05,3.16E+11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,1.18,138.4
6/30/1991,7,136,82.1,78,-3948400000,8.14,96.06,20.56,1.01,368.1,4.18E+06,5.16E+05,3.18E+11,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,1.14,137.43
7/31/1991,6.8,136.2,82.9,77.7,-7893900000,8.03,93.49,21.68,1.01,363.6,4.19E+06,5.11E+05,3.19E+11,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,1.18,137.3
8/31/1991,6.6,136.6,82,76.1,-7449700000,7.67,93.49,22.26,1.043,348.1,4.15E+06,5.26E+05,3.25E+11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,,1.18,136.78
